Location,Created Date,X Coordinate,Y Coordinate
3200 S KEDZIE AVE ,01-08-2009,1155543,1883189
2500 S ASHLAND AVE ,06-03-2009,,
873 N PAULINA ST ,06-03-2009,1164891,1906313
872 N PAULINA ST ,06-03-2009,1164905,1905861
910 W CHICAGO AVE ,06-03-2009,1170114,1905557
940 W CHICAGO AVE ,06-03-2009,1169970,1905553
826 N LESSING ST ,06-03-2009,1170047,1905934
821 N LESSING ST ,06-03-2009,1172430,1837866
1148 W CHICAGO AVE ,06-03-2009,1168674,1905514
1246 W CHICAGO AVE ,06-03-2009,1167712,1905484
1246 W CHICAGO AVE ,06-03-2009,1167712,1905484
1250 W CHICAGO AVE ,06-03-2009,,
801 N ELIZABETH ST ,06-03-2009,1167580,1905480
935 W FRY ST ,06-03-2009,1170047,1905934
935 W FRY ST ,06-03-2009,1170047,1905934
901 W FRY ST ,06-03-2009,1170351,1905934
901 W FRY ST ,06-03-2009,1170351,1905934
901 W FRY ST ,06-03-2009,1170351,1905934
1012 W FRY ST ,06-03-2009,1149210,1895255
1024 W FRY ST ,06-03-2009,1149210,1895255
1025 W FRY ST ,06-03-2009,1149210,1895255
1108 W FRY ST ,06-03-2009,1149214,1895056
839 N MAY ST ,06-03-2009,1170692,1901663
845 N MAY ST ,06-03-2009,1170692,1901663
847 N MAY ST ,06-03-2009,1170692,1901663
847 N MAY ST ,06-03-2009,1170692,1901663
851 N MAY ST ,06-03-2009,1170692,1901663
853 N MAY ST ,06-03-2009,1170692,1901663
855 N MAY ST ,06-03-2009,1170692,1901663
1100 W CHESTNUT ST ,06-03-2009,,
1112 W CHESTNUT ST ,06-03-2009,,
915 N RACINE AVE ,06-03-2009,1168230,1906009
944 N RACINE AVE ,06-03-2009,1168217,1906695
18 W 33RD ST ,06-03-2009,1176505,1883129
19 W 33RD ST ,06-03-2009,1176505,1883129
20 W 33RD ST ,06-03-2009,1176505,1883129
42 W 35TH ST ,06-03-2009,1176538,1881794
44 W 35TH ST ,06-03-2009,1176538,1881794
56 W 35TH ST ,06-03-2009,1176538,1881794
122 W 33RD ST ,06-03-2009,,
232 W 33RD ST ,06-03-2009,1175158,1883090
244 W 33RD ST ,06-03-2009,1175158,1883090
248 W 33RD ST ,06-03-2009,1175158,1883090
250 W 33RD ST ,06-03-2009,1175158,1883090
252 W 33RD ST ,06-03-2009,1175158,1883090
258 W 33RD ST ,06-03-2009,1175158,1883090
214 W 33RD ST ,06-03-2009,1175484,1883098
3120 S PRINCETON AVE ,06-03-2009,1174791,1884408
2937 S PRINCETON AVE ,06-03-2009,1174762,1885476
2933 S PRINCETON AVE ,06-03-2009,1174762,1885476
2930 S PRINCETON AVE ,06-03-2009,1174762,1885476
2920 S PRINCETON AVE ,06-03-2009,1174762,1885476
2917 S PRINCETON AVE ,06-03-2009,1174762,1885476
2915 S PRINCETON AVE ,06-03-2009,1174762,1885476
2913 S PRINCETON AVE ,06-03-2009,1174762,1885476
2840 S PRINCETON AVE ,06-03-2009,1174748,1886004
2804 S PRINCETON AVE ,06-03-2009,1174748,1886004
2824 S PRINCETON AVE ,06-03-2009,1174748,1886004
2720 S PRINCETON AVE ,06-03-2009,1174733,1886534
2717 S PRINCETON AVE ,06-03-2009,1174733,1886534
2706 S PRINCETON AVE ,06-03-2009,1174733,1886534
248 W 29TH ST ,06-03-2009,1175094,1885485
250 W 29TH ST ,06-03-2009,1175094,1885485
254 W 29TH ST ,06-03-2009,1175094,1885485
903 W 87TH ST ,06-03-2009,1171780,1847151
955 W 76TH ST ,06-03-2009,1171292,1854440
957 W 87TH ST ,06-03-2009,1171497,1847143
1154 W 88TH ST ,06-03-2009,1170194,1846443
8825 S RACINE AVE ,06-03-2009,1169863,1846434
433 W 87TH ST ,06-03-2009,1174820,1847209
435 W 87TH ST ,06-03-2009,1174820,1847209
443 W 87TH ST ,06-03-2009,1174820,1847209
447 W 87TH ST ,06-03-2009,1174820,1847209
948 N RACINE AVE ,06-03-2009,,
801 N ELIZABETH ST ,06-04-2009,1167580,1905480
837 N ELIZABETH ST ,06-04-2009,1167570,1905816
1420 W CHICAGO AVE ,06-04-2009,1166594,1905452
1500 W CHICAGO AVE ,06-04-2009,,
1512 W CHICAGO AVE ,06-04-2009,1166028,1905436
1526 W CHICAGO AVE ,06-04-2009,1166028,1905436
1704 W CHICAGO AVE ,06-04-2009,1164920,1905403
1706 W CHICAGO AVE ,06-04-2009,1164920,1905403
1808 W CHICAGO AVE ,06-04-2009,1164255,1905383
1840 W CHICAGO AVE ,06-04-2009,1164255,1905383
1856 W CHICAGO AVE ,06-04-2009,1163591,1905363
1902 W CHICAGO AVE ,06-04-2009,1163591,1905363
1908 W CHICAGO AVE ,06-04-2009,1163591,1905363
1924 W CHICAGO AVE ,06-04-2009,1163259,1905353
1946 W CHICAGO AVE ,06-04-2009,1163259,1905353
821 N DAMEN AVE ,06-04-2009,1162917,1905679
841 N DAMEN AVE ,06-04-2009,1162917,1905679
1901 W DIVISION ST ,06-04-2009,1163513,1908015
1900 W DIVISION ST ,06-04-2009,,
1849 W DIVISION ST ,06-04-2009,1163786,1908022
852 N WOOD ST ,06-04-2009,1164240,1905842
908 N WOOD ST ,06-04-2009,1164234,1906046
932 N WOOD ST ,06-04-2009,1164226,1906293
934 N WOOD ST ,06-04-2009,1164226,1906293
936 N WOOD ST ,06-04-2009,1164226,1906293
936 N WOOD ST ,06-04-2009,1164226,1906293
952 N WOOD ST ,06-04-2009,1164226,1906293
1002 N WOOD ST ,06-04-2009,1164215,1906709
1020 N WOOD ST ,06-04-2009,1164215,1906709
1021 N WOOD ST ,06-04-2009,1164215,1906709
1021 N WOOD ST ,06-04-2009,1164215,1906709
1102 N WOOD ST ,06-04-2009,1164195,1907372
1107 N WOOD ST ,06-04-2009,1164195,1907372
1113 N WOOD ST ,06-04-2009,1164188,1907642
1117 N WOOD ST ,06-04-2009,1164188,1907642
1122 N WOOD ST ,06-04-2009,1164188,1907642
1137 N WOOD ST ,06-04-2009,1164186,1907702
1137 N WOOD ST ,06-04-2009,1164186,1907702
1137 N WOOD ST ,06-04-2009,1164186,1907702
1137 N WOOD ST ,06-04-2009,1164186,1907702
1253 W FRY ST ,06-04-2009,1167672,1905815
1026 W FRY ST ,06-04-2009,1169292,1905922
1056 W FRY ST ,06-04-2009,1169292,1905922
1256 W FRY ST ,06-04-2009,1167672,1905815
1435 W FRY ST ,06-04-2009,1166581,1905781
1459 W FRY ST ,06-04-2009,1166581,1905781
1541 W WALTON ST ,06-04-2009,1166221,1906436
1538 W WALTON ST ,06-04-2009,1166221,1906436
1527 W WALTON ST ,06-04-2009,1166221,1906436
1526 W WALTON ST ,06-04-2009,1166221,1906436
1440 W WALTON ST ,06-04-2009,1166886,1906456
2901 S SHIELDS AVE ,06-04-2009,1174432,1885467
2901 S SHIELDS AVE ,06-04-2009,1174432,1885467
319 W 29TH ST ,06-04-2009,1174432,1885467
319 W 29TH ST ,06-04-2009,1174432,1885467
339 W 29TH ST ,06-04-2009,1174432,1885467
2923 S SHIELDS AVE ,06-04-2009,,
2933 S SHIELDS AVE ,06-04-2009,1174439,1885203
2829 S PRINCETON AVE ,06-04-2009,1174748,1886004
2701 S SHIELDS AVE ,06-04-2009,1174402,1886524
2701 S SHIELDS AVE ,06-04-2009,1174402,1886524
2701 S SHIELDS AVE ,06-04-2009,1174402,1886524
2701 S SHIELDS AVE ,06-04-2009,1174402,1886524
2701 S SHIELDS AVE ,06-04-2009,1174402,1886524
3019 S PRINCETON AVE ,06-04-2009,1174776,1884948
337 W 30TH ST ,06-04-2009,1174445,1884937
349 W 30TH ST ,06-04-2009,1174445,1884937
302 W 31ST ST ,06-04-2009,1174791,1884408
304 W 31ST ST ,06-04-2009,1174791,1884408
3031 S SHIELDS AVE ,06-04-2009,1174453,1884669
3031 S SHIELDS AVE ,06-04-2009,1174453,1884669
3031 S SHIELDS AVE ,06-04-2009,1174453,1884669
3031 S SHIELDS AVE ,06-04-2009,1174453,1884669
3031 S SHIELDS AVE ,06-04-2009,1174453,1884669
3031 S SHIELDS AVE ,06-04-2009,1174453,1884669
3031 S SHIELDS AVE ,06-04-2009,1174453,1884669
3031 S SHIELDS AVE ,06-04-2009,1174453,1884669
3151 S PRINCETON AVE ,06-04-2009,1174809,1883736
3211 S PRINCETON AVE ,06-04-2009,1174809,1883736
3212 S PRINCETON AVE ,06-04-2009,1174809,1883736
3225 S PRINCETON AVE ,06-04-2009,1174809,1883736
3233 S PRINCETON AVE ,06-04-2009,1174809,1883736
3239 S PRINCETON AVE ,06-04-2009,1174809,1883736
3241 S PRINCETON AVE ,06-04-2009,1174809,1883736
3245 S PRINCETON AVE ,06-04-2009,1174809,1883736
3102 S SHIELDS AVE ,06-04-2009,1174460,1884399
3103 S SHIELDS AVE ,06-04-2009,1174460,1884399
3105 S SHIELDS AVE ,06-04-2009,1174460,1884399
3110 S SHIELDS AVE ,06-04-2009,1174460,1884399
3124 S SHIELDS AVE ,06-04-2009,1174460,1884399
3124 S SHIELDS AVE ,06-04-2009,1174460,1884399
3124 S SHIELDS AVE ,06-04-2009,1174460,1884399
3124 S SHIELDS AVE ,06-04-2009,1174460,1884399
3123 S SHIELDS AVE ,06-04-2009,1174460,1884399
3132 S SHIELDS AVE ,06-04-2009,1174460,1884399
3142 S SHIELDS AVE ,06-04-2009,1174460,1884399
3155 S SHIELDS AVE ,06-04-2009,1174477,1883735
8800 S HALSTED ST ,06-04-2009,,
8800 S HALSTED ST ,06-04-2009,,
8800 S HALSTED ST ,06-04-2009,,
8800 S HALSTED ST ,06-04-2009,,
8800 S HALSTED ST ,06-04-2009,,
8900 S HALSTED ST ,06-04-2009,,
8910 S HALSTED ST ,06-04-2009,1172534,1845887
8900 S HALSTED ST ,06-04-2009,,
8900 S HALSTED ST ,06-04-2009,,
8900 S HALSTED ST ,06-04-2009,,
8900 S HALSTED ST ,06-04-2009,,
8900 S HALSTED ST ,06-04-2009,,
8900 S HALSTED ST ,06-04-2009,,
8900 S HALSTED ST ,06-04-2009,,
8900 S HALSTED ST ,06-04-2009,,
8900 S HALSTED ST ,06-04-2009,,
8701 S MAY ST ,06-04-2009,1170174,1847108
8701 S MAY ST ,06-04-2009,1170174,1847108
451 W 87TH ST ,06-04-2009,1174820,1847209
457 W 87TH ST ,06-04-2009,1174820,1847209
457 W 87TH ST ,06-04-2009,1174820,1847209
457 W 87TH ST ,06-04-2009,1174820,1847209
501 W 87TH ST ,06-04-2009,1174489,1847178
501 W 87TH ST ,06-04-2009,1174489,1847178
505 W 87TH ST ,06-04-2009,1174489,1847178
509 W 87TH ST ,06-04-2009,1174489,1847178
513 W 87TH ST ,06-04-2009,1174489,1847178
517 W 87TH ST ,06-04-2009,1174157,1847174
521 W 87TH ST ,06-04-2009,1174157,1847174
521 W 87TH ST ,06-04-2009,1174157,1847174
525 W 87TH ST ,06-04-2009,1174157,1847174
535 W 87TH ST ,06-04-2009,1174157,1847174
925 N ASHLAND AVE ,06-04-2009,1165557,1906333
537 W 87TH ST ,06-04-2009,1174157,1847174
539 W 87TH ST ,06-04-2009,1174157,1847174
547 W 87TH ST ,06-04-2009,1174157,1847174
551 W 87TH ST ,06-04-2009,1174157,1847174
551 W 76TH ST ,06-04-2009,1173863,1854506
559 W 87TH ST ,06-04-2009,1174157,1847174
559 W 87TH ST ,06-04-2009,1174157,1847174
559 W 87TH ST ,06-04-2009,1174157,1847174
559 W 87TH ST ,06-04-2009,1174157,1847174
1220 W AUGUSTA BLVD ,06-04-2009,1168212,1906825
1432 W CHESTNUT ST ,06-04-2009,1166895,1906124
1442 W CHESTNUT ST ,06-04-2009,1166895,1906124
1458 W CHESTNUT ST ,06-04-2009,1166223,1906104
1507 W CHESTNUT ST ,06-04-2009,1166223,1906104
1509 W CHESTNUT ST ,06-04-2009,1166223,1906104
1508 W CHESTNUT ST ,06-04-2009,1166223,1906104
1511 W CHESTNUT ST ,06-04-2009,1166223,1906104
1511 W CHESTNUT ST ,06-04-2009,1166223,1906104
1515 W CHESTNUT ST ,06-04-2009,1166223,1906104
2500 S ASHLAND AVE ,06-04-2009,,
1841 W DIVISION ST ,06-04-2009,1163786,1908022
1741 W DIVISION ST ,06-04-2009,1164508,1908043
1725 W DIVISION ST ,06-04-2009,1164508,1908043
1709 W DIVISION ST ,06-04-2009,,
1738 W HADDON AVE ,06-04-2009,1164519,1907653
1741 W HADDON AVE ,06-04-2009,1164519,1907653
848 N HERMITAGE AVE ,06-04-2009,1164572,1905851
852 N HERMITAGE AVE ,06-04-2009,1164572,1905851
1171 W DIVISION ST ,06-04-2009,1168248,1908153
1171 W DIVISION ST ,06-04-2009,1168248,1908153
925 N WILLARD CT ,06-04-2009,1167956,1906241
925 N WILLARD CT ,06-04-2009,1167956,1906241
925 N WILLARD CT ,06-04-2009,1167956,1906241
949 N WILLARD CT ,06-04-2009,1167956,1906241
949 N WILLARD CT ,06-04-2009,1167956,1906241
949 N WILLARD CT ,06-04-2009,1167956,1906241
949 N WILLARD CT ,06-04-2009,1167956,1906241
98 N THROOP ST ,06-04-2009,1167689,1900652
1517 W CHESTNUT ST ,06-04-2009,1166223,1906104
1535 W CHESTNUT ST ,06-04-2009,1166223,1906104
98 N THROOP ST ,06-04-2009,1167689,1900652
1421 W CORTEZ ST ,06-04-2009,1166802,1907115
1419 W CORTEZ ST ,06-04-2009,1166802,1907115
1418 W CORTEZ ST ,06-04-2009,1166802,1907115
1410 W CORTEZ ST ,06-04-2009,1166802,1907115
875 N MILWAUKEE AVE ,06-04-2009,1168230,1906009
1408 W CORTEZ ST ,06-04-2009,1166802,1907115
1432 W WALTON ST ,06-04-2009,1166886,1906456
1436 W WALTON ST ,06-04-2009,1166886,1906456
1104 N MARSHFIELD AVE ,06-04-2009,1165184,1907674
1110 N MARSHFIELD AVE ,06-04-2009,1165184,1907674
1060 N MARSHFIELD AVE ,06-04-2009,1165199,1907223
1015 N MARSHFIELD AVE ,06-04-2009,1165216,1906737
1527 W THOMAS ST ,06-04-2009,1166173,1907429
1465 W THOMAS ST ,06-04-2009,1166173,1907429
1531 W HADDON AVE ,06-04-2009,1166026,1907875
1537 W HADDON AVE ,06-04-2009,1166026,1907875
827 N MASSASOIT AVE ,06-04-2009,1137883,1904760
827 N MARSHFIELD AVE ,06-04-2009,1165237,1905871
831 N MARSHFIELD AVE ,06-04-2009,1165237,1905871
833 N MARSHFIELD AVE ,06-04-2009,1165237,1905871
845 N MARSHFIELD AVE ,06-04-2009,1165237,1905871
848 N MARSHFIELD AVE ,06-04-2009,1165237,1905871
854 N MARSHFIELD AVE ,06-04-2009,1165237,1905871
864 N MARSHFIELD AVE ,06-04-2009,1165237,1905871
885 N MARSHFIELD AVE ,06-04-2009,1165225,1906323
315 W 27TH ST ,06-04-2009,1174733,1886534
237 W 28TH PL ,06-04-2009,1175079,1886015
238 W 28TH PL ,06-04-2009,1175079,1886015
319 W 28TH PL ,06-04-2009,1174417,1885993
337 W 28TH PL ,06-04-2009,1174417,1885993
2820 S SHIELDS AVE ,06-04-2009,1174417,1885993
2938 S SHIELDS AVE ,06-04-2009,1174439,1885203
221 W 30TH ST ,06-04-2009,1175108,1884958
3028 S WELLS ST ,06-04-2009,1175108,1884958
2904 S WELLS ST ,06-04-2009,1175094,1885485
2906 S WELLS ST ,06-04-2009,1175094,1885485
2914 S WELLS ST ,06-04-2009,1175094,1885485
2909 S WELLS ST ,06-04-2009,1175094,1885485
920 N PAULINA ST ,06-04-2009,1164891,1906313
2716 S WELLS ST ,06-04-2009,1175065,1886544
2710 S WELLS ST ,06-04-2009,1175065,1886544
2709 S WELLS ST ,06-04-2009,1175065,1886544
912 N PAULINA ST ,06-04-2009,1164891,1906313
878 N PAULINA ST ,06-04-2009,1164891,1906313
3155 S SHIELDS AVE ,06-04-2009,1174477,1883735
3155 S SHIELDS AVE ,06-04-2009,1174477,1883735
3200 S SHIELDS AVE ,06-04-2009,,
3211 S SHIELDS AVE ,06-04-2009,1174477,1883735
820 N HERMITAGE AVE ,06-04-2009,1164585,1905393
834 N HERMITAGE AVE ,06-04-2009,1164572,1905851
832 N HERMITAGE AVE ,06-04-2009,1164572,1905851
3215 S SHIELDS AVE ,06-04-2009,1174477,1883735
3219 S SHIELDS AVE ,06-04-2009,1174477,1883735
3249 S SHIELDS AVE ,06-04-2009,1174477,1883735
3309 S SHIELDS AVE ,06-04-2009,1174494,1883071
884 N HERMITAGE AVE ,06-04-2009,1164559,1906303
3325 S SHIELDS AVE ,06-04-2009,1174494,1883071
912 N HERMITAGE AVE ,06-04-2009,1164559,1906303
3329 S SHIELDS AVE ,06-04-2009,1174494,1883071
918 N HERMITAGE AVE ,06-04-2009,1164559,1906303
919 N HERMITAGE AVE ,06-04-2009,1164559,1906303
3203 S SHIELDS AVE ,06-04-2009,1174477,1883735
922 N HERMITAGE AVE ,06-04-2009,1164559,1906303
1049 N HERMITAGE AVE ,06-04-2009,1164533,1907203
1050 N HERMITAGE AVE ,06-04-2009,1164533,1907203
1051 N HERMITAGE AVE ,06-04-2009,1164533,1907203
1087 N HERMITAGE AVE ,06-04-2009,1164519,1907653
1085 N HERMITAGE AVE ,06-04-2009,1164519,1907653
1085 N HERMITAGE AVE ,06-04-2009,1164519,1907653
1086 N HERMITAGE AVE ,06-04-2009,1164519,1907653
1116 N HERMITAGE AVE ,06-04-2009,1164519,1907653
1955 W IOWA ST ,06-04-2009,1163239,1906016
1955 W IOWA ST ,06-04-2009,1163239,1906016
3339 S SHIELDS AVE ,06-04-2009,1174494,1883071
3346 S SHIELDS AVE ,06-04-2009,1174494,1883071
1954 W IOWA ST ,06-04-2009,1163239,1906016
3345 S SHIELDS AVE ,06-04-2009,1174494,1883071
1925 W IOWA ST ,06-04-2009,1163239,1906016
1925 W IOWA ST ,06-04-2009,1163239,1906016
1924 W IOWA ST ,06-04-2009,1163239,1906016
3354 S SHIELDS AVE ,06-04-2009,1174511,1882405
1833 W IOWA ST ,06-04-2009,1163905,1906035
1820 W IOWA ST ,06-04-2009,1163905,1906035
3355 S SHIELDS AVE ,06-04-2009,1174511,1882405
3136 S SHIELDS AVE ,06-04-2009,1174460,1884399
3140 S SHIELDS AVE ,06-04-2009,1174460,1884399
8800 S ABERDEEN ST ,06-04-2009,,
8810 S MORGAN ST ,06-04-2009,1171185,1846470
3144 S SHIELDS AVE ,06-04-2009,1174460,1884399
8831 S MORGAN ST ,06-04-2009,1171185,1846470
8833 S MORGAN ST ,06-04-2009,1171185,1846470
8854 S MORGAN ST ,06-04-2009,1171203,1845839
8851 S MORGAN ST ,06-04-2009,1171203,1845839
8956 S MORGAN ST ,06-04-2009,1171225,1845140
9000 S CARPENTER ST ,06-04-2009,,
9000 S CARPENTER ST ,06-04-2009,,
9000 S CARPENTER ST ,06-04-2009,,
9021 S CARPENTER ST ,06-04-2009,1170895,1845132
9051 S CARPENTER ST ,06-04-2009,1170915,1844468
8956 S MORGAN ST ,06-04-2009,1171225,1845140
8801 S CARPENTER ST ,06-04-2009,1170854,1846461
8811 S CARPENTER ST ,06-04-2009,1170854,1846461
8800 S CARPENTER ST ,06-04-2009,,
8842 S ABERDEEN ST ,06-04-2009,1170543,1845829
601 W 87TH ST ,06-04-2009,1173825,1847168
601 W 87TH ST ,06-04-2009,1173825,1847168
601 W 87TH ST ,06-04-2009,1173825,1847168
601 W 87TH ST ,06-04-2009,1173825,1847168
