,08-00986575,Tree Planting,6167 N MCCLELLAN AVE ,1137705,1940989,39,"Jun 03, 2008",Completed,Tree Plant Date?,1/5/2009,Number of trees planted?,2,Planted?,Yes
,09-00446597,Tree Planting,525 N ARMOUR ST ,1166081,1903578,27,"Mar 16, 2009",Completed,Tree Plant Date?,4/15/2009,Number of trees planted?,1,Planted?,Yes
,09-00446616,Tree Planting,24 W WALTON ST ,1175762,1906903,2,"Mar 16, 2009",Completed,Tree Plant Date?,4/15/2009,Number of trees planted?,1,Planted?,Yes
,09-00458499,Tree Planting,1645 W 18TH PL ,1165826,1891137,25,"Mar 17, 2009",Completed,Tree Plant Date?,4/15/2009,Number of trees planted?,2,Planted?,Yes
,09-00458543,Tree Planting,6448 S TRIPP AVE ,1149139,1861823,13,"Mar 17, 2009",Completed,Tree Plant Date?,4/15/2009,Number of trees planted?,1,Planted?,Yes
,09-00458592,Tree Planting,6340 S NEW ENGLAND AVE ,1131506,1861645,23,"Mar 17, 2009",Completed,Tree Plant Date?,4/15/2009,Number of trees planted?,7,Planted?,Yes
,09-00458605,Tree Planting,1104 W 31ST ST ,1169483,1884271,11,"Mar 17, 2009",Completed,Tree Plant Date?,4/15/2009,Number of trees planted?,3,Planted?,Yes
,09-00460853,Tree Planting,2009 W SCHILLER ST ,1162808,1909435,1,"Mar 17, 2009",Completed,Tree Plant Date?,4/15/2009,Number of trees planted?,2,Planted?,Yes
,09-00474352,Tree Planting,3730 N OAKLEY AVE ,1160378,1924521,47,"Mar 19, 2009",Completed,Tree Plant Date?,4/15/2009,Number of trees planted?,2,Planted?,Yes
,09-00474420,Tree Planting,4220 N RICHMOND ST ,1155963,1927765,33,"Mar 19, 2009",Completed,Tree Plant Date?,4/15/2009,Number of trees planted?,2,Planted?,Yes
,09-00474452,Tree Planting,1518 W GRANVILLE AVE ,1165188,1941277,48,"Mar 19, 2009",Completed,Tree Plant Date?,4/15/2009,Number of trees planted?,1,Planted?,Yes
,09-00474472,Tree Planting,6220 N OLCOTT AVE ,1125517,1941003,41,"Mar 19, 2009",Completed,Tree Plant Date?,4/15/2009,Number of trees planted?,2,Planted?,Yes
,09-00474482,Tree Planting,3425 N MAJOR AVE ,1137754,1922364,36,"Mar 19, 2009",Completed,Tree Plant Date?,4/15/2009,Number of trees planted?,5,Planted?,Yes
,09-00492556,Tree Planting,3000 S LAWNDALE AVE ,1152177,1884468,22,"Mar 23, 2009",Completed,Tree Plant Date?,4/15/2009,Number of trees planted?,1,Planted?,Yes
,09-00506723,Tree Planting,5841 W STRONG ST ,1136178,1932258,45,"Mar 24, 2009",Completed,Tree Plant Date?,4/15/2009,Number of trees planted?,1,Planted?,Yes
,09-00520189,Tree Planting,4837 W ERIE ST ,1144242,1903881,37,"Mar 26, 2009",Completed,Tree Plant Date?,4/15/2009,Number of trees planted?,2,Planted?,Yes
